SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
11,40,New Jersey,State,NJ,10212,11326,12993,13145,14375,12941,12797,12292,10071,12069,9338,5918,9845,9688,13845,17854,15588,13155,14480,11763,10751,12578,8647,7456,10695,11150,14371,18158,19552,14154,14719,11349,13881,12433,9121,7857,9765,11498,17408,16553,14846,15101,12162,14332,12266,10018,9726,7129,9412,10629,15033,15800,17525,14902,11634,13502,12288,10207,9721,6794,11444,13559,14584,15405,17670,15215,12669,12859,11172,13164,8976,6250,11955,12302,14671,14615,15848,13348,13945,11844,11380
12,56,Virginia,State,VA,9077,9779,10774,12636,12817,10645,12762,11456,10136,11615,9587,5764,9034,10313,12236,16370,14163,11955,13336,11212,9649,10352,7627,7008,9427,9254,11503,18186,14293,12115,13268,10794,11992,9604,7466,6490,8116,13733,15266,14874,12756,13130,12011,12135,10330,8436,8280,5869,7415,8760,13458,13443,15281,13216,10571,12025,10198,8414,8164,5811,9232,11299,14163,14100,15617,13091,11003,11276,8507,10326,7005,4663,7894,8655,11187,11703,12908,10845,12040,10178,8409
13,59,Washington,State,WA,7811,8560,9176,9195,11542,10979,11757,11441,7963,9065,7113,4587,7200,7272,9321,12187,13187,10362,12142,10070,7963,8064,5881,4916,6346,7579,9131,12274,11232,10158,11725,9991,9425,7853,5475,4634,5854,6500,10097,10753,11227,12830,11136,12110,9499,6992,5992,3971,4850,4865,7675,9003,12745,11602,10386,11050,8907,6750,5874,3714,5992,6551,8173,9112,13014,11444,10103,11035,8759,8680,5492,3308,6114,5158,7641,8603,10941,9590,10870,9033,7048
14,26,Massachusetts,State,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5212,6993,8069,9554,7887,7599,6462,7465
15,8,Arizona,State,AZ,11035,10729,10923,10201,11256,10020,10993,10917,9474,12733,10371,7014,11487,10673,11495,12191,11111,10434,10794,9334,8458,11125,8883,7465,10404,10138,11438,12079,9952,8995,11225,9059,11022,10922,8928,7645,9809,10406,12251,11125,10529,10938,9534,10822,10249,9996,9913,7553,9491,9323,12199,12057,12109,10432,8466,10312,9399,9301,9566,6713,11677,12191,11816,10659,11872,10357,8364,10157,8642,11190,8754,6108,11360,10011,10918,10157,10526,8822,9474,9186,7842
16,53,Tennessee,State,TN,9476,10599,11302,11027,12479,10526,12389,11335,9041,10431,8905,5652,8894,8505,10253,13111,11456,9855,11673,9985,8237,9901,7365,6421,8512,7231,7331,9480,9758,8158,9808,9190,8248,9915,5796,5154,6065,6850,9412,9271,8466,9591,8455,9506,8099,6942,6936,4693,5900,6073,7988,8332,10330,9282,8300,9372,7803,7060,7137,5032,7147,7746,8994,9286,10838,10250,9002,9840,7777,9102,6616,5320,7756,7378,8477,8714,9819,8901,10494,9055,7529
17,32,Missouri,State,MO,8326,8620,9337,9376,10424,10083,10612,9748,7405,9555,7101,4531,7188,6874,9254,12003,10210,9275,10765,9119,6859,7982,6119,5264,7383,7284,8325,13043,9827,11119,9804,8183,9615,7687,5822,5286,6217,7354,10409,9811,8745,9798,8180,9100,7633,7051,6301,4555,5149,6142,8814,8900,10246,9517,8260,8843,7785,6438,5966,4585,6488,7251,9138,8653,10277,10173,8421,8643,6515,7835,5217,3513,5728,5569,7281,7650,7721,7573,9100,7693,6336
18,27,Maryland,State,MD,5258,5646,6536,6840,7459,6389,7342,6924,5696,6906,5616,3957,5237,5127,7060,10735,9196,7789,8372,7197,6799,7312,5346,4634,6100,5682,7134,11272,9446,8027,8747,7118,8837,7205,5611,5481,4739,5553,10038,9678,8379,9332,7905,8252,7435,6226,5973,4229,4828,5340,8428,8761,9708,8505,6924,7576,6933,6038,6194,3768,6305,7424,9008,9311,10094,8283,7084,7833,6659,7716,5224,3501,5536,5724,7613,8255,8962,7794,8123,7177,6466
19,60,Wisconsin,State,WI,5512,5887,7165,7628,9812,8958,8507,8900,6047,6660,4927,2839,5045,5270,6919,10103,9817,8690,9703,7279,5811,6354,4376,3452,4863,5814,8215,9663,11286,7665,8290,6430,6483,5209,4023,3421,4120,5141,7981,8715,9145,9312,7554,8060,6162,4895,4163,2568,3482,4643,7114,8779,10133,8616,6664,7565,5913,4829,3676,2464,4230,5202,7288,6959,9422,8866,7990,7724,5813,6340,3840,2412,4424,4154,5564,6920,8967,8116,8847,7665,5925
20,31,Minnesota,State,MN,4460,4835,5612,6061,7913,7611,8086,6949,5102,6222,4255,2423,4085,4199,6203,8431,8272,8354,8601,7263,5819,6216,3812,2907,4406,5865,7855,10234,8551,7822,9162,7123,9453,6182,4268,3347,4015,5644,9436,9371,10031,9906,7910,8654,6867,5226,4307,2725,3363,4566,7482,8392,9871,8822,6809,8099,6340,5173,3779,2364,4220,5763,7170,7087,10383,9586,7817,8517,6401,6548,3810,2161,4054,4342,5793,7185,9326,8622,9127,8036,6386
21,10,Colorado,State,CO,7970,8688,9489,9175,12027,12260,13050,10691,8622,10249,6749,4621,7678,6792,8820,10881,11726,10643,12101,9131,7837,7542,5577,5547,5660,6872,7546,9711,9228,9105,10602,8474,8401,7305,4977,4728,4706,5032,7863,7917,8514,10854,9115,9480,7426,6444,5378,4161,4593,4999,7103,7504,11787,10668,8298,9292,7425,5871,5074,3719,6145,6787,7938,8315,10850,10327,8400,9233,7519,8542,5604,3590,6663,6652,7313,8587,9842,9749,10404,8796,6854
22,4,Alabama,State,AL,5372,6003,5881,5333,6879,6011,6758,6118,4233,5586,5712,3126,4852,4703,6038,6879,6279,5349,6222,7744,4555,5546,4392,4459,5851,5414,7308,6920,7250,5960,7189,5898,5525,5114,4137,4030,5242,5258,7664,6480,6684,6823,5694,6338,6637,4732,4795,3814,4781,4960,6496,8304,7703,6622,5788,6655,5798,5080,4663,3352,5782,6157,7192,6554,7149,7046,5664,6363,4834,5614,4140,3055,5583,5437,6192,5784,7022,5958,6649,5826,5398
23,51,South Carolina,State,SC,7480,8037,8425,7405,10045,7387,8148,8364,6066,7988,6905,4374,7276,7023,8477,9587,8995,7706,8958,7795,6631,8824,6394,5452,7206,7426,7944,9573,7582,9310,9475,7115,7516,6343,5618,5689,6338,6972,9283,8354,7851,8547,7184,8322,6865,5164,6455,4610,6590,6379,8813,8257,9026,8153,7012,8064,6198,6193,6450,4935,7214,8343,9129,8120,9295,8316,7006,7973,5108,7980,5719,4023,7330,7131,8677,7860,8450,7269,8494,7432,5607
24,25,Louisiana,State,LA,3647,3472,4083,3211,3747,3475,4151,3971,2832,3860,3465,2052,3018,3157,3118,4197,4250,3301,4034,3580,2850,3558,2780,2525,3302,2815,3323,4231,3592,3703,4444,3655,3815,3288,2635,2663,3079,2966,3959,3695,3750,4157,3624,4234,3315,3768,3187,2408,3066,4208,4332,4694,7118,4937,4437,4697,4259,3672,4040,2707,4273,4543,5878,5043,5780,5471,4585,4590,3659,4620,3376,2631,4506,4263,4604,4567,5100,5324,5225,4672,3606
