"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Woodland Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",65,,,2800,2700,2700,2547.5,2595,2570.5,2472.5,2500,2500,2422.5,2347.5,2625,2500,2482.5,2800,2660,2650,2650,2675,2592.5,2500,2673.5,2500,2415,2402.5,2650,2650,2697.5,2349.5,2485,2897.5,2900,2950,2997,2797.5,2776.5,2797.5,2795,2700,3000,3000,2995,3000,2895,2872.5,2852,2895,2937.5,2999.5,2925,2999,2950,3000,2999,2987,2975,3126,3167.5,3500,3176.5,2999,2995,3325,3287,3110,3205.5,3340,3110,2997,2975,2999.5,3000,3000,3200,3250,3350.5,3400,3339,3200,3200,3104.5,3273,3292.5,3146,3200,3250,3300,3384,3295,3150,3240,3300,3250,3232.5,3205,3257.5,3295,3325,3299,3300,3297.5,3537.5,3475
"Eldridge - West Oaks","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.5,1975,1925,2000,2200,2100,2200,2059,1795,1875.5,1900,2000,2000,2000,2000,1900,1900,1997.5,1950,1845,1845,1700,1750,1800,1773,1800,1752.5,1699.5,1895,1710,1720,1725,1771,1660,1700,1644,1697.5,1695,1695,1700,1750,1774.5,1768,1770.5,1800,1812.5,1770,1761,1800,1774,1759.5,1777.5,1795,1799,1850,1850,1850,1802.5,1795,1795,1800,1812,1845,1849.5,1862.5,1905,1800,1780
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,4047.5,3995,4000,3950,4087.5,4000,3975,3827,3850,3950,3925,4000,3795,3975
"Murray Hill","New York","NY","New York-Newark-Jersey City","Queens County",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2125,2100,2000,1975,2000,2000,2000,2000,2000,2100,2100,2100,2125,2200,2200,2200,2200,2200,2200,2200,2125,2197.5,2200,2300,2300,2200,2200,2200,2250,2277.5,2300,2400,2300,2300,2300,2300,2400,2300,2300,2400,2450,2400,2450,2500,2400,2400,2400,2400,2450,2400,2325,2390,2500,2500,2500,2500,2350,2300,2300,2337.5,2400,2400,2400,2300,2300,2350,2300,2300,2385,2400,2400,2500,2400,2500
"Little Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1350,1300,1350,1350,1250,1195,1300,1295,1325,1300,1375
"North Raleigh","Raleigh","NC","Raleigh","Wake County",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,1245,1234,1247.5,1276.5,1260,1350,1245,1263.5,1290,1397.5,1393.5,1340,1360,1525,1475,1400,1400,1385,1405,1345,1348,1362.5,1345,1377.5,1429.5,1457,1430,1430,1414,1377.5,1353
"Canyon Country","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275,2295,2300,2302.5,2305,2254,2275,2395,2350,2399.5,2299,2295,2275,2350,2295,2350,2620,2688,2702,2624,2615,2475,2399,2410,2397.5,2513,2720,2499,2524,2645,2550,2506.5,2659
"Mira Mesa","San Diego","CA","San Diego-Carlsbad","San Diego County",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,2425,2500,2450,2500,2500,2500,2670,2547,2562,2500,2500,2535.5,2530,2569.5,2563,2650,2650,2725,2732.5,2677.5,2617.5,2600,2617,2650,2700,2769.5,2786,2728,2791,2789,2785,2757
"Far Rockaway","New York","NY","New York-Newark-Jersey City","Queens County",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2200,2200,2250,2250,2299,2272.5,2290,2300,2300,2300,2350,2350,2300,2300,2300,2300
"Cordova-Appling","Memphis","TN","Memphis","Shelby County",74,,,,,,,1150,1150,1175,1095,1095,1125,1095,1100,1100,1095,1100,1120.5,1125,1107.5,1095,1097.5,1100,1145,1067.5,1095,1100,1100,1095,1100,1150,1095,1092.5,1095,1100,1100,1112.5,1100,1125,1125,1175,1165,1150,1125,1145,1150,1125,1150,1160,1175,1175,1195,1175,1195,1195,1195,1152.5,1195,1195,1195,1195,1200,1237.5,1220,1195,1199,1195,1174.5,1200,1150,1195,1195,1195,1150,1195,1223,1200,1200,1200,1195,1200,1250,1250,1250,1250,1250,1270,1280,1295,1250,1275,1270,1250,1250,1247,1245,1250,1255,1275,1250,1257.5,1295,1295,1300,1325
