SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
41,39,New Hampshire,State,NH,14075,14088,14063,14221,14363,14037,13579,13316,13272,13255,12984,12901,12926,12508,12283,12526,12710,13010,13221,13095,13188,13310,13155,12917,12684,12717,13194,13656,13782,14075,14270,14023,13626,13158,12882,12524,11924,11741,11750,11343,11045,10772,10146,9817,9633,9418,9457,9523,9599,9698,9457,8935,8476,7915,7589,7686,7663,7692,7876,8010,8174,8102,7736,7500,7372,7533,8324,8938,8988,8900,8745,8770,8989,9009,8735,8525,8518,8394,8054,7766,7713
42,50,Rhode Island,State,RI,7467,7377,7280,7307,7300,7073,6846,6749,6758,6835,6846,6817,6798,6774,6887,7031,7039,7215,7388,7254,7204,7248,7149,6995,6809,6559,6632,6999,7007,6936,6966,6924,6878,6598,6419,6537,6532,6521,6486,6235,6148,6180,6104,6086,5969,5866,5889,5788,5772,6071,6124,5692,5410,5281,5186,5180,5081,5087,5183,5144,5093,4990,4799,4798,4976,5060,5147,5307,5406,5441,5367,5324,5367,5267,5081,5052,5060,4950,4805,4692,4683
43,35,Montana,State,MT,8795,8794,8942,9264,9130,8469,8030,7847,7783,7850,7865,7899,7805,7442,7358,7611,7792,8023,8239,8268,8285,8204,8001,7872,7947,8092,8006,7769,7540,7582,7692,7635,7592,7609,7842,8029,7993,8120,8285,8184,8226,8410,8399,8312,8157,8022,7907,7738,7672,7727,7676,7500,7458,7436,7402,7443,7379,7266,7189,7127,7079,6973,6804,6652,6566,6381,6164,6143,6205,6212,6094,6013,5998,5821,5559,5427,5382,5358,5350,5284,5237
44,13,Delaware,State,DE,9731,9239,9065,9510,9722,9069,8344,8031,7887,7860,7820,7819,7896,7862,7888,8049,8150,8388,8586,8510,8462,8384,8235,8113,7971,7916,7942,7648,7128,7116,7298,7644,8276,8372,8250,8236,8093,8152,8256,8096,8100,8343,8563,8615,8321,8071,7998,7832,7795,7962,7920,7668,7542,7401,7244,7113,6883,6852,6953,6861,6802,6753,6546,6487,6574,6473,6361,6292,6146,6074,6031,6075,6159,6101,5980,5955,5986,5987,5925,5700,5527
45,52,South Dakota,State,SD,4271,4207,4082,4055,4159,4217,4248,4233,4152,4066,3965,3929,3940,3862,3882,4134,4294,4256,4118,3973,3976,4044,4073,4076,4031,4018,4039,3801,3364,3169,3139,3237,3533,3717,3800,3865,3862,3954,4077,4057,4079,4168,4179,4119,3943,3805,3790,3738,3699,3778,3824,3757,3717,3699,3724,3773,3739,3764,3855,3891,3914,3870,3794,3821,3872,3838,3805,3817,3808,3756,3626,3543,3555,3493,3388,3462,3651,3794,3912,3931,3894
46,3,Alaska,State,AK,5100,5017,4938,4981,5124,5218,5226,5121,4986,4890,4713,4523,4389,4224,4147,4133,4032,4051,4110,4038,4069,4156,4180,4187,4187,4259,4368,4337,4129,4052,4095,4089,4098,4045,4042,4159,4263,4397,4478,4419,4448,4491,4398,4340,4277,4243,4268,4221,4168,4144,4066,4042,4069,3925,3859,4039,4105,4095,4166,4203,4219,4201,4126,4083,4142,4185,4167,4168,4174,4172,4113,4093,4117,4061,4018,4043,4009,3941,3916,3851,3833
47,37,North Dakota,State,ND,2005,1945,1834,1712,1635,1549,1429,1415,1535,1665,1750,1839,1909,1890,1842,1795,1716,1699,1732,1773,1904,2043,2131,2176,2162,2179,2262,2289,2179,2145,2229,2302,2386,2448,2567,2711,2775,2902,3033,3079,3218,3398,3494,3493,3387,3386,3462,3445,3483,3658,3800,3854,3920,3994,4110,4224,4231,4219,4226,4232,4251,4241,4257,4379,4489,4457,4369,4352,4361,4298,4142,4028,3970,3852,3793,3913,4058,4131,4142,4095,4087
48,58,Vermont,State,VT,8787,8746,8679,8747,8837,8717,8530,8422,8449,8534,8461,8427,8495,8328,8195,8355,8504,8710,8930,8933,8965,9004,8932,8915,8949,9104,9404,9405,9114,9141,9303,9295,9200,9049,9025,8929,8649,8522,8462,8321,8327,8283,8092,8060,7972,7768,7685,7647,7648,7688,7574,7376,7198,6891,6628,6540,6461,6458,6528,6530,6482,6398,6280,6220,6226,6264,6400,6504,6500,6467,6368,6318,6344,6320,6234,6204,6246,6212,6074,5925,5869
49,12,District of Columbia,State,DC,1623,1607,1571,1575,1601,1578,1554,1518,1484,1520,1565,1620,1648,1590,1585,1620,1600,1654,1730,1715,1726,1715,1626,1578,1572,1579,1657,1734,1714,1732,1792,1839,1876,1837,1817,1805,1753,1788,1839,1777,1770,1821,1800,1780,1733,1670,1662,1682,1745,1838,1817,1727,1753,1785,1773,1791,1793,1899,2100,2173,2169,2162,2166,2232,2219,2073,2018,2071,2134,2166,2092,2037,2041,1997,1944,1969,2034,2080,2092,2070,2082
50,62,Wyoming,State,WY,5315,5195,5019,4893,4830,4771,4708,4651,4669,4679,4597,4585,4580,4457,4411,4428,4348,4318,4307,4079,3836,3854,4e3,4050,4066,4173,4310,4313,4149,4118,4227,4338,4447,4451,4487,4549,4556,4729,4949,4952,4986,5095,5114,5149,5174,5181,5172,5092,5031,5027,5001,5045,5188,5232,5270,5380,5384,5323,5274,5190,5113,5010,4889,4866,4905,4808,4634,4578,4583,4547,4448,4411,4420,4302,4135,4098,4084,4019,3972,3912,3908
