"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Sedgwick County","KS","Wichita",129,843,0.000917,0.011684,0.009452,180263
2019-09-30,"Lake County","IN","Chicago-Naperville-Elgin",130,1107,0.001968,0.013073,-0.027207,184257
2019-09-30,"Plymouth County","MA","Boston-Cambridge-Newton",131,1894,0.008354,0.027158,0.038192,191633
2019-09-30,"Volusia County","FL","Deltona-Daytona Beach-Ormond Beach",132,1442,0.002467,0.007797,0.047672,235209
2019-09-30,"Morris County","NJ","New York-Newark-Jersey City",133,2226,0.005632,0.012111,0.005823,176234
2019-09-30,"Guilford County","NC","Greensboro-High Point",134,918,0.009805,0.030181,0.046041,182627
2019-09-30,"Dane County","WI","Madison",135,1362,0.001597,0.005337,0.004955,109512
2019-09-30,"Sonoma County","CA","Santa Rosa",136,2664,0.00275,0.007258,-0.027248,155754
2019-09-30,"Spokane County","WA","Spokane-Spokane Valley",137,1240,0.005104,0.018554,0.052563,168267
2019-09-30,"Richmond County","NY","New York-Newark-Jersey City",138,2046,0.00455,0.007886,0.040344,150188
2019-09-30,"Onondaga County","NY","Syracuse",139,1158,-0.000566,0.011054,0.011864,159526
2019-09-30,"Pasco County","FL","Tampa-St. Petersburg-Clearwater",140,1196,-0.001047,0.001565,0.021736,210770
2019-09-30,"Hampden County","MA","Springfield",141,1226,0.002009,0.003222,0.003108,147108
2019-09-30,"Montgomery County","TX","Houston-The Woodlands-Sugar Land",142,1488,-0.000033,0.006147,0.017183,192183
2019-09-30,"Greenville County","SC","Greenville-Anderson-Mauldin",143,1151,0.003376,0.01494,0.058938,130656
2019-09-30,"Burlington County","NJ","Philadelphia-Camden-Wilmington",144,1589,0.003096,0.011471,0.00774,159441
2019-09-30,"Tulare County","CA","Visalia-Porterville",145,1160,0.002248,0.014722,0.031728,105929
2019-09-30,"Lucas County","OH","Toledo",146,876,0.004818,0.017542,0.036903,157267
2019-09-30,"Adams County","CO","Denver-Aurora-Lakewood",147,1708,-0.000351,0.003505,0.018662,151331
2019-09-30,"East Baton Rouge Parish","LA","Baton Rouge",148,1160,-0.008913,-0.01858,-0.00929,76545
2019-09-30,"Virginia Beach City","VA","Virginia Beach-Norfolk-Newport News",149,1532,0.002773,0.013517,0.021622,170666
