"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Flagstaff Brannen Addtion","AZ","Flagstaff","Coconino County","Flagstaff",13420,1830,-0.005637,0.025145,0.056092,185
2019-09-30,"Vista Grande","NM","Albuquerque","Bernalillo County","Albuquerque",13421,1026,-0.011811,-0.018602,-0.079322,361
2019-09-30,"Wisconsin Co-op Housing","WI","Madison","Dane County","Madison",13422,1849,-0.010817,-0.022203,-0.000349,178
2019-09-30,"Lake Waterford Estates","FL","Deltona-Daytona Beach-Ormond Beach","Volusia County","New Smyrna Beach",13423,2122,-0.000449,0.000251,0.046349,55
2019-09-30,"North Beach","FL","Deltona-Daytona Beach-Ormond Beach","Volusia County","New Smyrna Beach",13424,3278,-0.004676,-0.002916,0.014766,1159
2019-09-30,"Reynolda","NC","Winston-Salem","Forsyth County","Winston-Salem",13425,1702,-0.01245,0.004188,0.03864,239
2019-09-30,"Cimarron","WA","Portland-Vancouver-Hillsboro","Clark County","Vancouver",13426,2328,0.008751,0.018237,0.012993,147
2019-09-30,"Capitol Park","AL","Tuscaloosa","Tuscaloosa County","Tuscaloosa",13427,1096,-0.024439,-0.038621,-0.065606,44
2019-09-30,"Riverland-Walnut Hill","VA","Roanoke","Roanoke City","Roanoke",13428,844,-0.024918,-0.020848,0.012404,409
2019-09-30,"Fairburn Road - Wisteria Lane","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",13429,1273,0.007203,0.025667,0.089426,47
2019-09-30,"Fieldstone by the Eno","NC","Durham-Chapel Hill","Durham County","Durham",13430,1599,0.011211,0.05142,0.041843,310
2019-09-30,"Nash Avenue","OR","Corvallis","Benton County","Corvallis",13431,2310,0.017191,0.052832,0.017111,27
2019-09-30,"Broadway","IA","Iowa City","Johnson County","Iowa City",13432,791,0.001791,-0.005894,-0.059179,177
2019-09-30,"St. Armands","FL","North Port-Sarasota-Bradenton","Sarasota County","Sarasota",13433,5226,-0.000874,-0.004986,0.101423,339
2019-09-30,"Heather Ridge","TX","Dallas-Fort Worth-Arlington","Dallas County","Richardson",13434,2738,0.006593,0.031147,0.022984,164
2019-09-30,"Ramblewood Acres","FL","North Port-Sarasota-Bradenton","Sarasota County","Sarasota",13435,1443,-0.000181,0.009801,0.011047,328
2019-09-30,"Groves of Gilbert","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",13436,2949,-0.00028,0.013936,0.034535,67
2019-09-30,"Upper Deer Valley","UT","Summit Park","Summit County","Park City",13437,3883,-0.014396,-0.047311,-0.239977,1453
2019-09-30,"Tennyson Heights","CO","Fort Collins","Larimer County","Fort Collins",13438,1745,-0.00793,-0.013666,0.025442,112
2019-09-30,"Waterglen","CO","Fort Collins","Larimer County","Fort Collins",13439,1571,-0.006346,-0.01453,0.036941,622
2019-09-30,"Bolling Brook","VA","Virginia Beach-Norfolk-Newport News","Norfolk City","Norfolk",13440,1310,-0.003657,0.001325,0.005327,129
2019-09-30,"Northwoods","MN","Minneapolis-St. Paul-Bloomington","Hennepin County","Brooklyn Park",13441,1500,-0.004519,-0.012204,0.001605,583
2019-09-30,"Vista Magnifica","NM","Albuquerque","Bernalillo County","Albuquerque",13442,1517,0.005326,0.031456,0.061142,156
2019-09-30,"West Polo Road","NC","Winston-Salem","Forsyth County","Winston-Salem",13443,1002,0.001813,0.009538,0.059709,479
2019-09-30,"Suburban Hills","OK","Tulsa","Tulsa County","Tulsa",13444,755,0.010649,0.029165,0.03361,403
2019-09-30,"Tone","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",13445,1629,0.008641,0.031538,0.066501,240
