"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Pensacola","FL","Pensacola-Ferry Pass-Brent","Escambia County",96,1098,0.009058,0.024687,0.060594,101806
2019-09-30,"Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",97,1410,0.002596,0.010724,0.023746,89326
2019-09-30,"Madison","WI","Madison","Dane County",98,1359,-0.000022,-0.001678,-0.002882,69181
2019-09-30,"Winston-Salem","NC","Winston-Salem","Forsyth County",99,930,0.006844,0.023157,0.060148,87498
2019-09-30,"Norfolk","VA","Virginia Beach-Norfolk-Newport News","Norfolk City",100,1208,0.001498,0.008108,0.015763,71072
2019-09-30,"Glendale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",101,1281,0.00708,0.023285,0.045546,72623
2019-09-30,"Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",102,1970,0.001642,0.012457,0.09469,133546
2019-09-30,"Fayetteville","NC","Fayetteville","Cumberland County",103,850,0.002863,0.011703,0.029629,89457
2019-09-30,"Boise","ID","Boise City","Ada County",104,1431,0.010559,0.035754,0.075408,98751
2019-09-30,"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",105,2936,0.001524,0.007469,0.01851,100995
2019-09-30,"Laredo","TX","Laredo","Webb County",106,1065,-0.004308,0.016203,0.00416,48010
2019-09-30,"Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota County",107,1742,-0.00354,-0.01082,0.022344,127989
2019-09-30,"Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",108,1469,0.004263,0.010383,0.000337,91633
2019-09-30,"Fort Myers","FL","Cape Coral-Fort Myers","Lee County",109,1542,-0.004101,-0.004987,0.028649,134497
2019-09-30,"Garland","TX","Dallas-Fort Worth-Arlington","Dallas County",110,1256,0.000296,0.005602,0.024248,69877
2019-09-30,"Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",111,1371,0.004095,0.016748,-0.011084,87705
2019-09-30,"Gilbert","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",112,1480,0.007246,0.026378,0.059047,93447
2019-09-30,"North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",113,1239,0.007542,0.030898,0.059882,88706
2019-09-30,"Fremont","CA","San Francisco-Oakland-Hayward","Alameda County",114,3031,-0.002973,-0.001424,0.012726,64016
2019-09-30,"Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",115,2586,0.00453,0.009591,0.019671,74370
2019-09-30,"Fontana","CA","Riverside-San Bernardino-Ontario","San Bernardino County",116,1919,0.004571,0.013044,0.032966,55001
2019-09-30,"Irving","TX","Dallas-Fort Worth-Arlington","Dallas County",117,1462,-0.001587,0.001274,0.01351,57488
2019-09-30,"Arlington","VA","Washington-Arlington-Alexandria","Arlington County",118,2276,0.000314,0.010242,0.021559,85118
2019-09-30,"Springfield","MO","Springfield","Greene County",119,727,0.009418,0.023155,0.035247,78122
2019-09-30,"Birmingham","AL","Birmingham-Hoover","Jefferson County",120,870,-0.000494,-0.001696,-0.000028,77047
2019-09-30,"Greenville","SC","Greenville-Anderson-Mauldin","Greenville County",121,1146,0.002927,0.01268,0.064913,64972
2019-09-30,"Santa Rosa","CA","Santa Rosa","Sonoma County",122,2595,0.003501,0.006264,-0.031208,59924
2019-09-30,"Oxnard","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",123,2508,0.005239,0.018595,0.015436,45817
2019-09-30,"Richmond","VA","Richmond","Richmond City",124,1244,0.003218,0.020394,0.016731,70453
2019-09-30,"Des Moines","IA","Des Moines-West Des Moines","Polk County",125,1112,-0.000106,0.002584,-0.004349,71210
2019-09-30,"Ocala","FL","Ocala","Marion County",126,1136,0.008764,0.030112,0.070314,94024
2019-09-30,"Boca Raton","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",127,2254,0.005033,0.010813,0.033146,122847
2019-09-30,"Shreveport","LA","Shreveport-Bossier City","Caddo Parish",128,861,-0.004557,0.006905,0.037774,6096
2019-09-30,"Woodbridge","VA","Washington-Arlington-Alexandria","Prince William County",129,1864,0.003564,0.013318,0.017834,71362
2019-09-30,"Rochester","NY","Rochester","Monroe County",130,1068,0.004715,0.020262,0.022163,58305
2019-09-30,"Montgomery","AL","Montgomery","Montgomery County",131,809,0.001936,0.00761,0.004807,74695
2019-09-30,"Bradenton","FL","North Port-Sarasota-Bradenton","Manatee County",132,1564,-0.000072,-0.00304,0.03778,102103
2019-09-30,"Corona","CA","Riverside-San Bernardino-Ontario","Riverside County",133,2226,0.0033,0.009409,0.024927,55790
2019-09-30,"Oceanside","CA","San Diego-Carlsbad","San Diego County",134,2352,0.000477,0.012203,0.037057,56911
2019-09-30,"Tacoma","WA","Seattle-Tacoma-Bellevue","Pierce County",135,1633,0.006406,0.020824,0.038173,71824
2019-09-30,"Grand Rapids","MI","Grand Rapids-Wyoming","Kent County",136,1356,0.007933,0.027913,0.062734,71080
2019-09-30,"Gainesville","FL","Gainesville","Alachua County",137,1155,0.006737,0.021006,0.055687,62993
2019-09-30,"Yonkers","NY","New York-Newark-Jersey City","Westchester County",138,2217,-0.002167,-0.00188,0.040968,38212
2019-09-30,"Glendale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",139,2725,0.000892,0.002887,0.029368,42575
2019-09-30,"Augusta","GA","Augusta-Richmond County","Richmond County",140,901,0.010646,0.037782,0.151242,66274
2019-09-30,"Moreno Valley","CA","Riverside-San Bernardino-Ontario","Riverside County",141,1767,0.005916,0.017441,0.048308,51556
2019-09-30,"Akron","OH","Akron","Summit County",142,794,-0.00065,0.002585,0.016002,74120
2019-09-30,"Aurora","IL","Chicago-Naperville-Elgin","Kane County",143,1394,0.001071,0.004178,0.010474,52077
2019-09-30,"Wilmington","NC","Wilmington","New Hanover County",144,1331,0.000546,0.000352,0.063707,79768
2019-09-30,"Huntington Beach","CA","Los Angeles-Long Beach-Anaheim","Orange County",145,2710,0.000321,-0.003976,-0.032257,67362
2019-09-30,"Huntsville","AL","Huntsville","Madison County",146,1015,0.007866,0.024653,0.066019,70387
