"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"19730","DE","Philadelphia-Camden-Wilmington","New Castle County","Odessa",25074,1493,0.01022,0.028415,0.027415,150
2019-09-30,"26237","WV",,"Upshur County","Tallmansville",25075,847,0.003096,0.009312,-0.031772,216
2019-09-30,"16674","PA","Huntingdon","Huntingdon County","Wood Township",25076,960,0.000783,0.014295,0.01774,277
2019-09-30,"24635","VA","Bluefield","Tazewell County","Bluefield",25077,1002,0.004662,0.037236,0.098843,174
2019-09-30,"25909","WV","Beckley","Raleigh County","Prosperity",25078,722,-0.001846,-0.01504,-0.068544,20
2019-09-30,"36793","AL",,"Perry County","Lawley",25079,977,0.009479,0.039384,0.012954,134
2019-09-30,"54103","WI",,"Forest County","Armstrong Creek",25080,794,0.01325,0.012465,-0.047197,44
2019-09-30,"58721","ND",,"Burke County","Bowbells",25081,996,-0.0071,-0.017082,-0.043644,38
2019-09-30,"59046","MT","Billings","Golden Valley County","Lavina",25082,1039,0.00596,0.047067,0.004334,235
2019-09-30,"68958","NE",,"Phelps County","Loomis",25083,955,-0.004508,-0.005878,-0.128134,203
2019-09-30,"72421","AR","Jonesboro","Craighead County","Cash",25084,789,-0.000237,0.005163,0.074778,34
2019-09-30,"99102","WA","Pullman","Whitman County","Palouse",25085,1302,0.024461,0.037926,-0.015634,72
2019-09-30,"18083","PA","Allentown-Bethlehem-Easton","Northampton County","Stockertown",25086,1409,-0.002326,0.009145,0.050062,237
2019-09-30,"21628","MD","Baltimore-Columbia-Towson","Queen Annes County","Centreville",25087,1549,0.041279,0.145947,-0.006932,143
2019-09-30,"36371","AL","Ozark","Dale County","Pinckard",25088,791,-0.005184,-0.028168,-0.048128,271
2019-09-30,"39457","MS","Picayune","Pearl River County","Carriere",25089,1014,0.02033,-0.018944,-0.081446,17
2019-09-30,"36483","AL","Atmore","Escambia County","Wing",25090,837,0.005214,0.017177,-0.012652,178
2019-09-30,"55787","MN",,"Aitkin County","Tamarack",25091,1289,-0.001843,-0.001398,0.010461,286
2019-09-30,"57359","SD",,"Sanborn County","Letcher",25092,771,-0.015937,-0.024522,-0.149261,92
2019-09-30,"58005","ND","Fargo","Cass County","Argusville",25093,1298,0.006601,-0.024777,-0.076508,37
2019-09-30,"61318","IL","Dixon","Lee County","Compton",25094,724,-0.003736,-0.017789,-0.262867,301
2019-09-30,"72053","AR","Little Rock-North Little Rock-Conway","Pulaski County","Sweet Home",25095,682,-0.005775,-0.01328,-0.028575,29
2019-09-30,"83867","ID",,"Shoshone County","Wallace",25096,1045,0.001953,0.020424,0.104183,252
2019-09-30,"83825","ID","Sandpoint","Bonner County","Dover",25097,1634,0.033738,0.113722,0.232236,360
2019-09-30,"98533","WA","Centralia","Lewis County","Cinebar",25098,1301,0.007515,0.009554,0.078047,102
2019-09-30,"95830","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Elk Grove",25099,2144,-0.009816,-0.036546,-0.09919,234
2019-09-30,"12852","NY",,"Essex County","Town Of Newcomb",25100,1620,0.009441,0.035238,0.002415,466
2019-09-30,"01259","MA","Pittsfield","Berkshire County","New Marlborough",25101,1583,-0.016405,-0.057942,0.115292,237
2019-09-30,"20129","VA","Washington-Arlington-Alexandria","Loudoun County","Leesburg",25102,1987,0.008599,0.017206,0.02771,291
2019-09-30,"36513","AL","Mobile","Mobile County","Mount Vernon",25103,1009,0.029132,0.189306,0.173513,16
2019-09-30,"38471","TN",,"Wayne County","Lutts",25104,1015,0.007435,0.040098,0.077211,194
2019-09-30,"38720","MS","Clarksdale","Coahoma County","Alligator",25105,800,-0.00132,0.001278,-0.055442,79
2019-09-30,"41763","KY",,"Perry County","Cornettsville",25106,711,0.001326,0.006337,0.018487,33
2019-09-30,"41729","KY",,"Perry County","Combs",25107,768,0.001263,0.001492,0.049526,30
2019-09-30,"49791","MI",,"Cheboygan County","Cheboygan",25108,943,0.000257,-0.01133,-0.103294,35
2019-09-30,"50672","IA",,"Hardin County","Steamboat Rock",25109,755,0.001166,0.008313,0.033676,289
2019-09-30,"50558","IA",,"Humboldt County","Livermore",25110,775,0.005779,0.012719,0.017022,292
2019-09-30,"53537","WI","Janesville-Beloit","Rock County","Footville",25111,1101,-0.003602,0.037734,0.127904,22
2019-09-30,"60479","IL","Chicago-Naperville-Elgin","Grundy County","Verona",25112,1159,0.014925,-0.012888,-0.057196,202
2019-09-30,"61778","IL","Bloomington","Dewitt County","Waynesville",25113,950,0.010697,0.013179,0.022393,251
2019-09-30,"59057","MT","Billings","Yellowstone County","Molt",25114,1402,0.002794,0.008432,-0.050285,234
2019-09-30,"68856","NE",,"Custer County","Merna",25115,890,0.04876,0.095079,0.001035,167
2019-09-30,"68647","NE","Columbus","Platte County","Monroe",25116,1042,0.005718,-0.000226,-0.168476,273
2019-09-30,"74054","OK","Tulsa","Osage County","Hominy",25117,821,0.002901,0.01026,0.058394,109
2019-09-30,"73857","OK","Woodward","Woodward County","Sharon",25118,944,-0.001892,-0.012787,-0.011538,165
2019-09-30,"84305","UT","Logan","Cache County","Clarkston",25119,1183,0.011067,0.022174,-0.031445,326
2019-09-30,"05827","VT",,"Orleans County","Craftsbury",25120,1416,-0.035566,-0.04036,0.101021,30
2019-09-30,"08352","NJ","Vineland-Bridgeton","Cumberland County","Rosenhayn",25121,1208,0.007492,0.010542,-0.011501,30
2019-09-30,"12063","NY","Albany-Schenectady-Troy","Rensselaer County","Schodack",25122,1135,-0.014857,-0.068524,-0.065677,173
2019-09-30,"14820","NY","Corning","Steuben County","Town Of Cameron",25123,1134,0.001794,0.007768,-0.058732,217
2019-09-30,"24580","VA",,"Mecklenburg County","Nelson",25124,926,0.015289,0.071728,-0.062832,249
2019-09-30,"25565","WV","Huntington-Ashland","Lincoln County","Alkol",25125,758,0.003029,0.01809,-0.021214,146
2019-09-30,"24272","VA",,"Russell County","Saint Paul",25126,926,-0.006869,0.001251,0.044,126
2019-09-30,"28668","NC",,"Alleghany County","Roaring Gap",25127,1315,-0.00007,0.013831,0.074165,509
2019-09-30,"38050","TN","Jackson","Crockett County","Maury City",25128,801,0.011354,0.013445,0.052007,167
